country,iso3,year,life_exp,health_ppp
Australia,AUS,1962,71,NA
Australia,AUS,1967,70.8,NA
Australia,AUS,1971,NA,999.418
Australia,AUS,1972,NA,1027.184
Australia,AUS,1973,NA,1079.525
Australia,AUS,1974,NA,1198.884
Australia,AUS,1975,NA,1350.571
Australia,AUS,1976,72.8,1387.429
Australia,AUS,1977,NA,1444.007
Australia,AUS,1978,NA,1450.709
Australia,AUS,1979,NA,1451.789
Australia,AUS,1980,NA,1475.326
Australia,AUS,1981,74.8,1526.652
Australia,AUS,1982,74.6,1525.572
Australia,AUS,1983,75.4,1571.565
Australia,AUS,1984,75.7,1605.599
Australia,AUS,1985,75.5,1649.332
Australia,AUS,1986,76,1706.089
Australia,AUS,1987,76.2,1740.898
Australia,AUS,1988,76.2,1809.316
Australia,AUS,1989,76.4,1849.818
Australia,AUS,1990,76.9,1882.898
Australia,AUS,1991,77.3,1927.342
Australia,AUS,1992,77.4,1984.339
Australia,AUS,1993,77.9,2036.285
Australia,AUS,1994,77.9,2113.493
Australia,AUS,1995,77.8,2187.216
Australia,AUS,1996,78.1,2286.832
Australia,AUS,1997,78.4,2367.27
Australia,AUS,1998,78.6,2493.849
Australia,AUS,1999,78.9,2610.73
Australia,AUS,2000,79.2,2734.148
Australia,AUS,2001,79.6,2848.25
Australia,AUS,2002,79.9,2980.659
Australia,AUS,2003,80.2,3123.226
Australia,AUS,2004,80.5,3325.179
Australia,AUS,2005,80.8,3385.542
Australia,AUS,2006,81,3513.167
Australia,AUS,2007,81.3,3650.041
Australia,AUS,2008,81.4,3797.941
Australia,AUS,2009,81.5,3878.347
Australia,AUS,2010,81.7,4002.601
Australia,AUS,2011,81.9,4131.516
Australia,AUS,2012,82,4130.635
Australia,AUS,2013,82.1,4174.57
Australia,AUS,2014,82.3,4634.114
Australia,AUS,2015,82.4,4776.158
Australia,AUS,2016,82.4,4901.922
Australia,AUS,2017,82.5,4994.494
Australia,AUS,2018,82.7,5073.085
Australia,AUS,2019,82.9,5081.171
Australia,AUS,2020,83.2,5442.839
Australia,AUS,2021,83.3,5763.229
